Sentiment,Customer Review,corpus
Positive,"Barang bagus, pengiriman juga cepat. Cuma minus di packaging nya kurang rapi (cuma pakai plastik. Tapi rekomen sih buat harga segini.","barang bagus, pengiriman juga cepat. cuma minus di packaging nya kurang rapi (cuma pakai plastik. tapi rekomen sih buat harga segini."
Positive,LENGKAP BAGUS PENGIRIMAN CEPAT DAN TEPAT TERPERCAYAA NOMOR 1 SEINDONESIA,lengkap bagus pengiriman cepat dan tepat terpercayaa nomor 1 seindonesia
Positive,"Bahan tipis, seller ramah, ekspedisi cpt","bahan tipis, seller ramah, ekspedisi cpt"
Positive,"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks","produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks"
Positive,Model dan warna aku suka tp pemasangan sedikit ribet moga ja awet,model dan warna aku suka tp pemasangan sedikit ribet moga ja awet
Positive,mantap barangnya ??????,mantap barangnya ??????
Positive,barang bagus sesuai gambar tapi gaberwarna,barang bagus sesuai gambar tapi gaberwarna
Positive,"Respon seller sangat cepat dan ramah, packing sangat rapih... RECOMMENDED SELLER lah pokok nya !!!!","respon seller sangat cepat dan ramah, packing sangat rapih... recommended seller lah pokok nya !!!!"
Positive,"Respon cepat, barang dpt digunakan dengan baik","respon cepat, barang dpt digunakan dengan baik"
Positive,Bukunya bagus bgt semoga anakku suka.. pengemasannya rapi dan cepat meskipun ada yg lecet dikit tp seller mau bertanggung jwb dengan ksh diskon. Respon sellernya ramah sekali. Thanks yaa,bukunya bagus bgt semoga anakku suka.. pengemasannya rapi dan cepat meskipun ada yg lecet dikit tp seller mau bertanggung jwb dengan ksh diskon. respon sellernya ramah sekali. thanks yaa
Positive,"Baru dicoba untuk alas duduk beberapa jam, so far lumayan nyaman tapi masih belum terbiasa. Selain empuk, juga bikin posisi duduk jadi tambah tinggi.","baru dicoba untuk alas duduk beberapa jam, so far lumayan nyaman tapi masih belum terbiasa. selain empuk, juga bikin posisi duduk jadi tambah tinggi."
Positive,"kado.harga paling murah pada saat beli , trims, semoga bisa langganan. dan harganya bisa terbaik terus se tokped","kado.harga paling murah pada saat beli , trims, semoga bisa langganan. dan harganya bisa terbaik terus se tokped"
Positive,"Adminnya ramah bgt asli, nanya apa aja dijawabnya gercep bgt","adminnya ramah bgt asli, nanya apa aja dijawabnya gercep bgt"
Positive,Produk Sesuai.,produk sesuai.
Positive,Bahannya nyaman ??. Nyaman di punggung. Gampang dipakai.,bahannya nyaman ??. nyaman di punggung. gampang dipakai.
Positive,"enak, isiannya banyak, sausnya mantap","enak, isiannya banyak, sausnya mantap"
Positive,"mantap, selalu ok sesuai produk deskripsi","mantap, selalu ok sesuai produk deskripsi"
Positive,barang bagus..cuma kurang teliti saat pengiriman.kabel charger salah yang magnetik tapi dapat kabel charger usb..selain it ok lah,barang bagus..cuma kurang teliti saat pengiriman.kabel charger salah yang magnetik tapi dapat kabel charger usb..selain it ok lah
Positive,"produk ok ,sesuai pesanan,sudah langganan, pengiriman cepat, makasih store","produk ok ,sesuai pesanan,sudah langganan, pengiriman cepat, makasih store"
Positive,Bahannya nyaman ??. Nyaman di punggung. Desain ergonomis. Beban tersebar merata. Proses pesanan cepat,bahannya nyaman ??. nyaman di punggung. desain ergonomis. beban tersebar merata. proses pesanan cepat
Positive,"Kualitas Product Bagus. Material bagus. Recomended. terimakasih untuk Tokopedia dan miniso karena saya dapat tong sampah plastik nya gratis semoga berkah untuk saya dan untuk Tokopedia dan miniso . tong sampah nya sampai dalam keadaan utuh dan masih bagus serta nyaman digunakan dan mungil juga dan bahan nya lembut soft doft yaa, jadi kalau dimainkan anak tidak akan melukai apabila tidak rusak seperti pecah dan semoga awet menemaniku sampai hari yang akan datang .","kualitas product bagus. material bagus. recomended. terimakasih untuk tokopedia dan miniso karena saya dapat tong sampah plastik nya gratis semoga berkah untuk saya dan untuk tokopedia dan miniso . tong sampah nya sampai dalam keadaan utuh dan masih bagus serta nyaman digunakan dan mungil juga dan bahan nya lembut soft doft yaa, jadi kalau dimainkan anak tidak akan melukai apabila tidak rusak seperti pecah dan semoga awet menemaniku sampai hari yang akan datang ."
Positive,"Barang sebenarnya sudah sampai tadi sore, cuman baru ta unboxing dan mainkan malam ini. Sukaaa! Recommended ni toko ????????????","barang sebenarnya sudah sampai tadi sore, cuman baru ta unboxing dan mainkan malam ini. sukaaa! recommended ni toko ????????????"
Positive,"bahan oke, joss lahh","bahan oke, joss lahh"
Positive,mantab barang susuai pesanan tepat waktu,mantab barang susuai pesanan tepat waktu
Positive,"wajar lah harga segitu mah, baguss","wajar lah harga segitu mah, baguss"
Positive,"sangat cepat responnya, sangat banyak membantu. terimakasih banyak","sangat cepat responnya, sangat banyak membantu. terimakasih banyak"
Positive,"bagus kuteknya dan pengiriman ,respon penjual okey ,nyesel pesan 1 next time order lagi thx","bagus kuteknya dan pengiriman ,respon penjual okey ,nyesel pesan 1 next time order lagi thx"
Positive,Bulu mata jadi lentik. Packaging rapi. Packaging aman ??. Proses pesanan cepat. Aplikator mudah dipakai.,bulu mata jadi lentik. packaging rapi. packaging aman ??. proses pesanan cepat. aplikator mudah dipakai.
Positive,Slalu beli di official shop.. ga pernah kecewa.. makasi seller,slalu beli di official shop.. ga pernah kecewa.. makasi seller
Positive,Solatip nya kurang merekat tapi lampunya topp,solatip nya kurang merekat tapi lampunya topp
Positive,Aplikator mudah dipakai. Desainnya lucu. Warnanya pekat.,aplikator mudah dipakai. desainnya lucu. warnanya pekat.
Positive,mantap??,mantap??
Positive,Tepat waktu dan sesuai pesanan,tepat waktu dan sesuai pesanan
Positive,"Proses cepat, kartu sim card dapat digunakan di pulau jeju dengan lancar tanpa ada halangan, makasih kenikura ??","proses cepat, kartu sim card dapat digunakan di pulau jeju dengan lancar tanpa ada halangan, makasih kenikura ??"
Positive,Sudah diterima dengan baik. Produk sesuai dan nyaman dipakai. Terima kasih.,sudah diterima dengan baik. produk sesuai dan nyaman dipakai. terima kasih.
Positive,"Wanginya enak, respon seller n pengiriman cepat","wanginya enak, respon seller n pengiriman cepat"
