Sentiment,Customer Review,corpus
Positive,"Barang bagus, pengiriman juga cepat. Cuma minus di packaging nya kurang rapi (cuma pakai plastik. Tapi rekomen sih buat harga segini.",barang bagus kirim cepat minus packaging nya rapi pakai plastik rekomen sih harga gin
Positive,LENGKAP BAGUS PENGIRIMAN CEPAT DAN TEPAT TERPERCAYAA NOMOR 1 SEINDONESIA,lengkap bagus kirim cepat terpercayaa nomor 1 indonesia
Positive,"Bahan tipis, seller ramah, ekspedisi cpt",bahan tipis seller ramah ekspedisi cepat
Positive,"produk asli original. suplemen bagus tanpa efek samping, semoga segera berproses utk menambah pigmen rambut. tks",produk asli original suplemen bagus efek samping moga proses pigmen rambut tks
Positive,Model dan warna aku suka tp pemasangan sedikit ribet moga ja awet,model warna suka pasang ribet moga awet
Positive,mantap barangnya ??????,mantap barang
Positive,barang bagus sesuai gambar tapi gaberwarna,barang bagus sesuai gambar gaberwarna
Positive,"Respon seller sangat cepat dan ramah, packing sangat rapih... RECOMMENDED SELLER lah pokok nya !!!!",respon seller cepat ramah packing rapi recommended seller pokok nya
Positive,"Respon cepat, barang dpt digunakan dengan baik",respon cepat barang
Positive,Bukunya bagus bgt semoga anakku suka.. pengemasannya rapi dan cepat meskipun ada yg lecet dikit tp seller mau bertanggung jwb dengan ksh diskon. Respon sellernya ramah sekali. Thanks yaa,buku bagus banget moga anak suka emas rapi cepat lecet seller tanggung kasih diskon respon jual ramah terima kasih
Positive,"Baru dicoba untuk alas duduk beberapa jam, so far lumayan nyaman tapi masih belum terbiasa. Selain empuk, juga bikin posisi duduk jadi tambah tinggi.",coba alas duduk jam sok far lumayan nyaman empuk bikin posisi duduk
Positive,"kado.harga paling murah pada saat beli , trims, semoga bisa langganan. dan harganya bisa terbaik terus se tokped",kadoharga murah beli terima kasih moga langgan harga tokped
Positive,"Adminnya ramah bgt asli, nanya apa aja dijawabnya gercep bgt",adminnya ramah banget asli gerak cepat banget
Positive,Produk Sesuai.,produk sesuai
